Element  Frequency
  '?ra'          7
  'rfr'          5
  'r??'          4
  'rau'          4
  'rf?'          4
  'v?r'          4
  'ora'          4
  '?rf'          4
  'd??'          3
  'r?o'          3
  'rar'          3
  'rra'          3
  'av?'          3
  'a??'          3
  'oar'          3
  '??w'          3
  'o??'          3
  '??r'          3
  'fra'          3
  'z?r'          3
  'afr'          3
  'ra?'          3
  'fr?'          2
  'eo?'          2
  'dzo'          2
  'dur'          2
  'frd'          2
  '???'          2
  'drt'          2
  'dr?'          2
  'frr'          2
  'cur'          2
  'cor'          2
  'co?'          2
  'ata'          2
  'aro'          2
  'arf'          2
  'are'          2
  'ara'          2
  'aor'          2
  'anr'          2
  'frf'          2
  'od?'          2
  'l?z'          2
  'rr?'          2
  'zoa'          2
  'wat'          2
  'wan'          2
  'vfr'          2
  'v?a'          2
  'ur?'          2
  'tor'          2
  'toa'          2
  'rva'          2
  'rto'          2
  'rfo'          2
  'mav'          2
  'rer'          2
  'rav'          2
  'rac'          2
  'owa'          2
  'orx'          2
  'ofr'          2
  'odr'          2
  'o?r'          2
  'n?f'          2
  'mov'          2
  'a?r'          2
  'mad'          2
  '?ow'          2
  '?wa'          2
  '?zu'          2
  '?rr'          2
  '?rc'          2
  '?ar'          2
  '?ba'          2
  '??a'          2
  'rb?'          1
  'rat'          1
  '?d?'          1
 '\nrd'          1
  'rcd'          1
  '?do'          1
  'rcu'          1
  'rcv'          1
  'rda'          1
  'rdc'          1
  'rdm'          1
  'rct'          1
  'ram'          1
  'rao'          1
  'rdr'          1
  'rai'          1
  'raf'          1
  'rad'          1
  '?ea'          1
  '?ec'          1
  'r?t'          1
  'r?r'          1
  '?et'          1
  'r?f'          1
  'r?e'          1
  'r?a'          1
 'r?\n'          1
  '?fh'          1
  'rdn'          1
  're?'          1
  'rdu'          1
  'roc'          1
  'rrf'          1
  'rrd'          1
  '?ag'          1
  '?ao'          1
  'rqr'          1
  'rqo'          1
  'rpd'          1
  'roz'          1
  'rov'          1
  'ror'          1
  'roq'          1
  'ron'          1
  'rof'          1
  'rod'          1
  'ro?'          1
  'rdz'          1
  'rnr'          1
  'rma'          1
  'rlu'          1
  'rlt'          1
  'rl?'          1
  'rir'          1
  'rfu'          1
  '?ap'          1
  'rfp'          1
  'rfd'          1
  '?as'          1
  '?az'          1
  'ren'          1
  'qrf'          1
  'qrv'          1
  'qem'          1
  'qo?'          1
  'oiq'          1
  '?h?'          1
  'ofw'          1
  'oha'          1
  'ohc'          1
  'ohu'          1
  'oia'          1
  'olp'          1
  'rrv'          1
  'onr'          1
  'onz'          1
  'oob'          1
  'oq?'          1
  'oqe'          1
  'or?'          1
  'ofm'          1
  'ofd'          1
  'ofa'          1
  'oet'          1
  'oee'          1
  '?ie'          1
  'odn'          1
  'oda'          1
  '?lr'          1
  'ocu'          1
  'oco'          1
  'ocd'          1
  'oca'          1
  'obt'          1
  'obl'          1
  'oba'          1
  'oat'          1
  '?go'          1
  'orc'          1
  'orf'          1
  'pdf'          1
  'qag'          1
  'q?r'          1
  'pza'          1
  'pz?'          1
  'pyr'          1
  'pro'          1
  'poz'          1
  'por'          1
  'pmz'          1
  'pma'          1
  'pil'          1
  'ph?'          1
  'pdu'          1
  'pdr'          1
  'pav'          1
  'orl'          1
  'ozt'          1
  'ozp'          1
  'ozo'          1
  'oze'          1
  'owe'          1
  '?fo'          1
  'ow?'          1
  'ovf'          1
  'ovd'          1
  'ov?'          1
  'otd'          1
  'osf'          1
  '?fr'          1
  'orm'          1
  'rro'          1
  'rtf'          1
  'rsa'          1
  'wel'          1
  'wad'          1
  '??m'          1
  'wao'          1
  '??e'          1
  'wbw'          1
  'wco'          1
  'wez'          1
  'rta'          1
  'wfo'          1
  'wfr'          1
  'woc'          1
  'wor'          1
  'wrd'          1
  'wrf'          1
  'wa?'          1
  'w?m'          1
  'vwo'          1
  'vv?'          1
  'vrs'          1
  'vrr'          1
  'voo'          1
  'vof'          1
  'vo?'          1
  'vn?'          1
  '??o'          1
  'vdr'          1
  'vde'          1
  'vbm'          1
  'var'          1
  'vam'          1
  'va?'          1
  'wro'          1
  'wto'          1
  'wvr'          1
  'zco'          1
  'zvn'          1
  'zuo'          1
  'zud'          1
  'ztf'          1
  'zr?'          1
  'zpz'          1
  'zpo'          1
  'zpm'          1
  'zoi'          1
  'zoe'          1
  'zoc'          1
  'zel'          1
  'zed'          1
  'zdn'          1
  'zbo'          1
  'wzp'          1
  'zbf'          1
  'zav'          1
  'za?'          1
  '??d'          1
  'z?o'          1
  'z?g'          1
  'z?b'          1
  'yrt'          1
  'yeo'          1
  'xzv'          1
  'xwa'          1
  'xgr'          1
  'xea'          1
  'xad'          1
  'v?w'          1
  '??p'          1
  '??t'          1
  'saf'          1
  'tez'          1
  'tdw'          1
  'tdn'          1
  'tca'          1
  'tbv'          1
  'tbn'          1
  'tau'          1
  'tat'          1
  'tar'          1
  'tae'          1
  'tac'          1
  't?r'          1
  'sye'          1
  'sfd'          1
  'rzp'          1
  'tfl'          1
  'rxw'          1
  'rxe'          1
  'rxa'          1
  'rwr'          1
  'rvw'          1
  'rvr'          1
  'rvo'          1
  '?a?'          1
  'ru?'          1
  'rtr'          1
  'rtp'          1
  '?ac'          1
  'rtg'          1
  'oan'          1
  'tfe'          1
  'tg?'          1
  'uz?'          1
  'ubw'          1
  'urt'          1
  'urb'          1
  '??z'          1
  'uoh'          1
  'uod'          1
  'umo'          1
  'ulm'          1
  'ufr'          1
  'ueb'          1
  'udt'          1
  'udr'          1
  'udp'          1
  'udo'          1
  'uco'          1
  'uav'          1
  'tha'          1
  'u?t'          1
  'u?r'          1
  'tzb'          1
  'twv'          1
  'trr'          1
  'tpm'          1
 '?\no'          1
  'tof'          1
 '?\nr'          1
  'tna'          1
  'tn?'          1
  'tlu'          1
  'thw'          1
  'thu'          1
  '?ma'          1
  'o?x'          1
  'oam'          1
  'coe'          1
  'cdm'          1
  'cdo'          1
  'cdv'          1
  'cha'          1
  '?to'          1
  'coa'          1
  '?tn'          1
  'oa?'          1
  'cpa'          1
  'cpz'          1
  'crd'          1
  'cth'          1
  '?tb'          1
  'cvd'          1
  'ccp'          1
  'cbo'          1
  'cau'          1
  'cat'          1
  'cah'          1
  'bwf'          1
  'bwa'          1
  'bvf'          1
  'btl'          1
  'bot'          1
  'bor'          1
  'boh'          1
  'bof'          1
  'bnd'          1
  'bma'          1
  'blt'          1
  'bfg'          1
  'cza'          1
  'czc'          1
  '?rz'          1
  'dor'          1
  'dwb'          1
  'dv?'          1
  'dul'          1
  'dto'          1
  'dta'          1
  'drv'          1
  '?rt'          1
  'drr'          1
  'dro'          1
  'drf'          1
  '?rv'          1
  'dph'          1
  'doz'          1
  'dos'          1
  'doa'          1
  'd?a'          1
  'dno'          1
  'dne'          1
  'dnb'          1
  'dn?'          1
  'dmo'          1
  'dma'          1
  'dfr'          1
  'dfo'          1
  'dez'          1
  'dex'          1
  'dcz'          1
  'dat'          1
  'dao'          1
  'd?h'          1
  'baw'          1
  'bar'          1
